Sending: p2019-03-01T15:06:39;
Sending: p2019-03-01T15:06:40;
Sending: p2019-03-01T15:06:41;
Sending: p2019-03-01T15:06:42;
Valve PWM: 72019-03-01T15:06:43;
Sending: p2019-03-01T15:06:43;
Sending: p2019-03-01T15:06:44;
Sending: p2019-03-01T15:06:45;
Sending: p2019-03-01T15:06:47;
Sending: p2019-03-01T15:06:48;
Sending: p2019-03-01T15:06:49;
Sending: p2019-03-01T15:06:50;
Sending: p2019-03-01T15:06:51;
Sending: p2019-03-01T15:06:52;
Sending: p2019-03-01T15:06:53;
Sending: p2019-03-01T15:06:54;
Sending: p2019-03-01T15:06:55;
Sending: p2019-03-01T15:06:56;
Sending: p2019-03-01T15:06:57;
Sending: p2019-03-01T15:06:58;
Sending: p2019-03-01T15:06:59;
Sending: p2019-03-01T15:07:00;
Sending: p2019-03-01T15:07:01;
Sending: p2019-03-01T15:07:02;
Sending: p2019-03-01T15:07:03;
Sending: p2019-03-01T15:07:04;
Sending: p2019-03-01T15:07:05;
Sending: p2019-03-01T15:07:06;
Sending: p2019-03-01T15:07:07;
Sending: p2019-03-01T15:07:08;
Sending: p2019-03-01T15:07:09;
Sending: p2019-03-01T15:07:10;
Sending: p2019-03-01T15:07:11;
Sending: p2019-03-01T15:07:12;
Sending: p2019-03-01T15:07:13;
Sending: p2019-03-01T15:07:15;
Sending: p2019-03-01T15:07:16;
Sending: p2019-03-01T15:07:17;
Sending: p2019-03-01T15:07:18;
Sending: p2019-03-01T15:07:19;
Sending: p2019-03-01T15:07:20;
Sending: p2019-03-01T15:07:21;
Sending: p2019-03-01T15:07:22;
Sending: p2019-03-01T15:07:23;
Sending: p2019-03-01T15:07:24;
Sending: p2019-03-01T15:07:25;
Sending: p2019-03-01T15:07:26;
Sending: p2019-03-01T15:07:27;
Valve PWM: 702019-03-01T15:07:28;
Sending: p2019-03-01T15:07:28;
Sending: p2019-03-01T15:07:29;
Sending: p2019-03-01T15:07:30;
Sending: p2019-03-01T15:07:31;
Sending: p2019-03-01T15:07:32;
Sending: p2019-03-01T15:07:33;
Sending: p2019-03-01T15:07:34;
Sending: p2019-03-01T15:07:36;
Sending: p2019-03-01T15:07:37;
Sending: p2019-03-01T15:07:38;
Sending: p2019-03-01T15:07:39;
Sending: p2019-03-01T15:07:40;
Sending: p2019-03-01T15:07:41;
Sending: p2019-03-01T15:07:42;
Sending: p2019-03-01T15:07:43;
Sending: p2019-03-01T15:07:44;
Sending: p2019-03-01T15:07:45;
Sending: p2019-03-01T15:07:46;
Sending: p2019-03-01T15:07:47;
Sending: p2019-03-01T15:07:48;
Sending: p2019-03-01T15:07:49;
Sending: p2019-03-01T15:07:50;
Sending: p2019-03-01T15:07:52;
Sending: p2019-03-01T15:07:53;
Sending: p2019-03-01T15:07:54;
Sending: p2019-03-01T15:07:55;
Sending: p2019-03-01T15:07:56;
Sending: p2019-03-01T15:07:57;
Sending: p2019-03-01T15:07:58;
Sending: p2019-03-01T15:07:59;
Sending: p2019-03-01T15:08:00;
Sending: p2019-03-01T15:08:01;
Sending: p2019-03-01T15:08:02;
Sending: p2019-03-01T15:08:03;
Sending: p2019-03-01T15:08:04;
Sending: p2019-03-01T15:08:05;
Sending: p2019-03-01T15:08:06;
Sending: p2019-03-01T15:08:08;
Sending: p2019-03-01T15:08:09;
Sending: p2019-03-01T15:08:10;
Sending: p2019-03-01T15:08:11;
Sending: p2019-03-01T15:08:12;
Valve PWM: 02019-03-01T15:08:13;
Sending: p2019-03-01T15:08:13;
Sending: p2019-03-01T15:08:14;
Sending: p2019-03-01T15:08:15;
Sending: p2019-03-01T15:08:16;
Sending: p2019-03-01T15:08:17;
Sending: p2019-03-01T15:08:18;
Sending: p2019-03-01T15:08:19;
Sending: p2019-03-01T15:08:20;
Sending: p2019-03-01T15:08:21;
Sending: p2019-03-01T15:08:22;
Sending: p2019-03-01T15:08:23;
Sending: p2019-03-01T15:08:25;
Sending: p2019-03-01T15:08:26;
Sending: p2019-03-01T15:08:27;
Sending: p2019-03-01T15:08:28;
Sending: p2019-03-01T15:08:29;
Sending: p2019-03-01T15:08:30;
Sending: p2019-03-01T15:08:31;
Sending: p2019-03-01T15:08:32;
Sending: p2019-03-01T15:08:33;
Sending: p2019-03-01T15:08:34;
Sending: p2019-03-01T15:08:35;
Sending: p2019-03-01T15:08:36;
Sending: p2019-03-01T15:08:37;
Sending: p2019-03-01T15:08:38;
Sending: p2019-03-01T15:08:39;
Sending: p2019-03-01T15:08:41;
Sending: p2019-03-01T15:08:42;
Sending: p2019-03-01T15:08:43;
Sending: p2019-03-01T15:08:44;
Sending: p2019-03-01T15:08:45;
Sending: p2019-03-01T15:08:46;
Sending: p2019-03-01T15:08:47;
Sending: p2019-03-01T15:08:48;
Sending: p2019-03-01T15:08:49;
Sending: p2019-03-01T15:08:50;
Sending: p2019-03-01T15:08:51;
Sending: p2019-03-01T15:08:52;
Sending: p2019-03-01T15:08:53;
Sending: p2019-03-01T15:08:54;
Sending: p2019-03-01T15:08:55;
Sending: p2019-03-01T15:08:57;
Sending: p2019-03-01T15:08:58;
Valve PWM: 72019-03-01T15:08:59;
Sending: p2019-03-01T15:08:59;
Sending: p2019-03-01T15:09:00;
Sending: p2019-03-01T15:09:01;
Sending: p2019-03-01T15:09:02;
Sending: p2019-03-01T15:09:03;
Sending: p2019-03-01T15:09:04;
Sending: p2019-03-01T15:09:05;
Sending: p2019-03-01T15:09:06;
Sending: p2019-03-01T15:09:07;
Sending: p2019-03-01T15:09:08;
Sending: p2019-03-01T15:09:09;
Sending: p2019-03-01T15:09:10;
Sending: p2019-03-01T15:09:11;
Sending: p2019-03-01T15:09:12;
Sending: p2019-03-01T15:09:13;
Sending: p2019-03-01T15:09:14;
Sending: p2019-03-01T15:09:15;
Sending: p2019-03-01T15:09:16;
Sending: p2019-03-01T15:09:17;
Sending: p2019-03-01T15:09:18;
Sending: p2019-03-01T15:09:19;
Sending: p2019-03-01T15:09:21;
Sending: p2019-03-01T15:09:22;
Sending: p2019-03-01T15:09:23;
Sending: p2019-03-01T15:09:24;
Sending: p2019-03-01T15:09:25;
Sending: p2019-03-01T15:09:26;
Sending: p2019-03-01T15:09:27;
Sending: p2019-03-01T15:09:28;
Sending: p2019-03-01T15:09:29;
Sending: p2019-03-01T15:09:30;
Sending: p2019-03-01T15:09:31;
Sending: p2019-03-01T15:09:32;
Sending: p2019-03-01T15:09:33;
Sending: p2019-03-01T15:09:34;
Sending: p2019-03-01T15:09:35;
Sending: p2019-03-01T15:09:36;
Sending: p2019-03-01T15:09:37;
Sending: p2019-03-01T15:09:38;
Sending: p2019-03-01T15:09:39;
Sending: p2019-03-01T15:09:40;
Sending: p2019-03-01T15:09:41;
Sending: p2019-03-01T15:09:42;
Valve PWM: 702019-03-01T15:09:43;
Sending: p2019-03-01T15:09:44;
Sending: p2019-03-01T15:09:45;
Sending: p2019-03-01T15:09:46;
Sending: p2019-03-01T15:09:47;
Sending: p2019-03-01T15:09:48;
Sending: p2019-03-01T15:09:49;
Sending: p2019-03-01T15:09:50;
Sending: p2019-03-01T15:09:51;
Sending: p2019-03-01T15:09:52;
Sending: p2019-03-01T15:09:53;
Sending: p2019-03-01T15:09:54;
