Dbg: 20445184 - 3856 | 560 496 132019-03-01T13:54:58;
Connected: COM2019-03-01T13:54:59;
Sending: p144.467426704192019-03-01T13:57:16;
Sending: p144.441691041602019-03-01T13:57:17;
Sending: p144.339455485972019-03-01T13:57:18;
Sending: p144.441767924182019-03-01T13:57:19;
Sending: p144.454481308892019-03-01T13:57:20;
Sending: p144.4034051312019-03-01T13:57:21;
Sending: p144.28846577812019-03-01T13:57:22;
Sending: p144.428902112752019-03-01T13:57:23;
Sending: p144.390812335532019-03-01T13:57:24;
Sending: p144.364900693842019-03-01T13:57:25;
Sending: p144.441806364342019-03-01T13:57:27;
Sending: p144.390697062692019-03-01T13:57:28;
Sending: p144.250035931532019-03-01T13:57:29;
Sending: p144.326715664842019-03-01T13:57:30;
Sending: p144.48014276252019-03-01T13:57:31;
Sending: p144.390735487722019-03-01T13:57:32;
Sending: p144.19908355822019-03-01T13:57:33;
Sending: p144.250112710572019-03-01T13:57:34;
Sending: p144.326830891202019-03-01T13:57:35;
Sending: p144.186089771092019-03-01T13:57:36;
Sending: p144.377951893772019-03-01T13:57:37;
Sending: p144.211886818062019-03-01T13:57:38;
Sending: p144.237190278282019-03-01T13:57:39;
Sending: p144.313977172922019-03-01T13:57:40;
Sending: p144.390543354992019-03-01T13:57:41;
Sending: p144.212040320282019-03-01T13:57:42;
Sending: p144.377836626602019-03-01T13:57:43;
Sending: p144.352350303372019-03-01T13:57:44;
Sending: p144.339724365992019-03-01T13:57:45;
Sending: p144.28835058012019-03-01T13:57:46;
Sending: p144.199045183472019-03-01T13:57:47;
Sending: p144.28846577812019-03-01T13:57:48;
Sending: p144.237343825792019-03-01T13:57:49;
Sending: p144.416306688912019-03-01T13:57:51;
Sending: p144.22469141892019-03-01T13:57:52;
Sending: p144.250035931532019-03-01T13:57:53;
Sending: p144.237343825792019-03-01T13:57:54;
Sending: p144.147999014812019-03-01T13:57:55;
Sending: p144.377913472132019-03-01T13:57:56;
Sending: p144.262921322792019-03-01T13:57:57;
Sending: p144.27561609132019-03-01T13:57:58;
Sending: p144.147922290122019-03-01T13:57:59;
Sending: p144.237612504882019-03-01T13:58:00;
Sending: p144.301432008632019-03-01T13:58:01;
Sending: p144.211963570682019-03-01T13:58:02;
Sending: p144.275808063482019-03-01T13:58:03;
Sending: p144.326869298472019-03-01T13:58:04;
Sending: p144.314245994762019-03-01T13:58:05;
Sending: p144.224576276472019-03-01T13:58:06;
Sending: p144.275654487272019-03-01T13:58:07;
Sending: p144.326754074382019-03-01T13:58:08;
Sending: p144.237535743202019-03-01T13:58:09;
Sending: p144.339493899672019-03-01T13:58:10;
Sending: p144.352350303372019-03-01T13:58:11;
Sending: p144.301086397562019-03-01T13:58:12;
Sending: p144.46758048142019-03-01T13:58:14;
Sending: p144.301355211452019-03-01T13:58:15;
Sending: p144.084336351642019-03-01T13:58:16;
Sending: p144.147922290122019-03-01T13:58:17;
Sending: p144.186511856512019-03-01T13:58:18;
Sending: p144.262921322792019-03-01T13:58:19;
Sending: p144.199121932312019-03-01T13:58:20;
Sending: p144.211886818062019-03-01T13:58:21;
Sending: p144.10980509892019-03-01T13:58:22;
Sending: p144.135547649952019-03-01T13:58:23;
Sending: p144.199045183472019-03-01T13:58:24;
Sending: p143.994950219292019-03-01T13:58:25;
Sending: p144.071508123732019-03-01T13:58:26;
Sending: p144.135317523392019-03-01T13:58:27;
Sending: p144.09701254032019-03-01T13:58:28;
Sending: p143.918516946772019-03-01T13:58:29;
Sending: p144.084374693622019-03-01T13:58:30;
Sending: p144.122714051422019-03-01T13:58:31;
Sending: p144.12256064422019-03-01T13:58:32;
Sending: p144.046009039302019-03-01T13:58:34;
Sending: p143.969543764222019-03-01T13:58:35;
Sending: p144.096897495172019-03-01T13:58:36;
Sending: p143.995026861032019-03-01T13:58:37;
Sending: p143.931290801692019-03-01T13:58:38;
Sending: p144.12256064422019-03-01T13:58:39;
Sending: p144.084221321182019-03-01T13:58:40;
Sending: p144.173711262562019-03-01T13:58:41;
Sending: p144.160873646842019-03-01T13:58:42;
Sending: p144.045970705242019-03-01T13:58:43;
Sending: p144.18632001082019-03-01T13:58:44;
Sending: p144.084221321182019-03-01T13:58:45;
Sending: p144.173711262562019-03-01T13:58:46;
Sending: p144.262921322792019-03-01T13:58:47;
Sending: p144.148152455142019-03-01T13:58:48;
Sending: p144.122675700762019-03-01T13:58:49;
Sending: p144.033299826102019-03-01T13:58:50;
Sending: p144.22469141892019-03-01T13:58:51;
Sending: p144.224653038902019-03-01T13:58:52;
Sending: p144.237420595022019-03-01T13:58:53;
Sending: p144.160605089292019-03-01T13:58:54;
Sending: p144.27561609132019-03-01T13:58:55;
Sending: p144.173634531832019-03-01T13:58:57;
Sending: p144.22472979832019-03-01T13:58:58;
Sending: p144.237497361232019-03-01T13:58:59;
Sending: p144.275846455652019-03-01T13:59:00;
Sending: p144.147883926652019-03-01T13:59:01;
Sending: p144.109996839022019-03-01T13:59:02;
Sending: p144.263074882392019-03-01T13:59:03;
Sending: p144.262767751112019-03-01T13:59:04;
Sending: p144.16091200912019-03-01T13:59:05;
Sending: p144.326830891202019-03-01T13:59:06;
Sending: p144.237535743202019-03-01T13:59:07;
Sending: p144.314207593912019-03-01T13:59:08;
Sending: p144.416114522152019-03-01T13:59:09;
Sending: p144.288734547102019-03-01T13:59:10;
Sending: p144.186243267262019-03-01T13:59:11;
Sending: p144.301240010022019-03-01T13:59:12;
Sending: p144.441998553802019-03-01T13:59:13;
Sending: p144.326946110762019-03-01T13:59:14;
Sending: p144.199006807912019-03-01T13:59:15;
Sending: p144.378067154142019-03-01T13:59:16;
Sending: p144.403558847062019-03-01T13:59:17;
Sending: p144.250151098962019-03-01T13:59:19;
Sending: p144.339724365992019-03-01T13:59:20;
Sending: p144.480181212932019-03-01T13:59:21;
Sending: p144.480258111402019-03-01T13:59:22;
Sending: p144.441652599172019-03-01T13:59:23;
Sending: p144.4034051312019-03-01T13:59:24;
Sending: p144.314245994762019-03-01T13:59:25;
Sending: p144.275808063482019-03-01T13:59:26;
Sending: p144.441883242392019-03-01T13:59:27;
Sending: p144.50588650702019-03-01T13:59:28;
Sending: p144.531366424632019-03-01T13:59:29;
Sending: p144.378028734772019-03-01T13:59:30;
Sending: p144.454558198282019-03-01T13:59:31;
Sending: p144.403558847062019-03-01T13:59:32;
Sending: p144.505809596452019-03-01T13:59:33;
Sending: p144.314092386812019-03-01T13:59:34;
Sending: p144.480296559512019-03-01T13:59:35;
Sending: p144.467465149642019-03-01T13:59:36;
Sending: p144.518683489772019-03-01T13:59:37;
Sending: p144.454558198282019-03-01T13:59:38;
Sending: p144.467542038292019-03-01T13:59:39;
Sending: p144.505809596452019-03-01T13:59:41;
Sending: p144.493052412172019-03-01T13:59:42;
Sending: p144.480450344372019-03-01T13:59:43;
Sending: p144.480335006852019-03-01T13:59:44;
Sending: p144.454750408542019-03-01T13:59:45;
Sending: p144.454558198282019-03-01T13:59:46;
Sending: p144.518645031452019-03-01T13:59:47;
Sending: p144.62095364482019-03-01T13:59:48;
