1023;370.47
1014;384.86
1004;374.74
994;379.06
984;389.89
974;379.36
964;378.31
954;371.86
944;376.52
934;384.86
924;387.38
914;375.19
904;390.63
894;399
884;416.92
874;392.5
864;420.42
854;429.68
844;409.93
834;408.87
824;430.32
814;418.86
804;426.18
794;447.93
784;442.63
774;457.52
764;455.63
754;461.02
744;476.79
734;481.7
724;484.52
714;513.07
704;505.97
694;519.8
684;510.77
674;579.21
664;600.78
654;615.69
644;643.13
634;679.01
624;673.92
614;798.78
604;809.45
594;947.95
584;985.1
574;1099.04
564;1107.1
554;1153.27
544;1202.62
534;1222.55
524;1320.24
514;1126.3
504;1108.66
494;1130.13
484;1162.5
474;1174.34
464;1030.46
454;1251.25
444;1030.89
434;1110.53
424;1122.49
414;1154.25
404;1204
394;1137.67
384;1238.41
374;1057.64
364;1098.42
354;1257.64
344;1113.5
334;1206.09
324;1210.79
314;1298.04
304;1117.43
294;1141.06
284;1175.85
274;1006.63
264;1166.15
254;1068.14
244;1244.35
234;1122.8
224;1263.89
214;1056.9
204;1325.33
194;1238.23
184;1159.69
174;1316.54
164;1308.79
154;1133.32
144;1059.26
134;1140.57
124;1108.34
114;1113.82
104;1231.43
94;1195.55
84;1204.18
74;1139.44
64;1186.67
54;1143.16
44;1078.61
34;1170.82
24;1123.12
14;1226.98
4;1059.55
0;1225.73
