Dbg: 18939664 - 3856 | 560 496 132019-02-25T16:05:24;
Connected: COM2019-02-25T16:05:27;
Sending: p710.816780895932019-02-25T16:07:33;
Sending: p653.604924993002019-02-25T16:07:34;
Sending: p650.683247196702019-02-25T16:07:35;
Sending: p684.315531588952019-02-25T16:07:36;
Sending: p692.897488505532019-02-25T16:07:37;
Sending: p640.819610454722019-02-25T16:07:38;
Sending: p639.311370441812019-02-25T16:07:39;
Sending: p655.234789508482019-02-25T16:07:40;
Sending: p681.911562760632019-02-25T16:07:41;
Sending: p646.409850295402019-02-25T16:07:42;
Sending: p653.523862221572019-02-25T16:07:44;
Sending: p658.755878302382019-02-25T16:07:45;
Sending: p624.163042197082019-02-25T16:07:46;
Sending: p644.166634681292019-02-25T16:07:47;
Sending: p663.376112000802019-02-25T16:07:48;
Sending: p691.762825429012019-02-25T16:07:49;
Sending: p677.305125231972019-02-25T16:07:50;
Sending: p680.116869765542019-02-25T16:07:51;
Sending: p716.33735253042019-02-25T16:07:52;
Sending: p651.33129389862019-02-25T16:07:53;
Sending: p704.365331896462019-02-25T16:07:54;
Sending: p684.315531588952019-02-25T16:07:55;
Sending: p712.801968538072019-02-25T16:07:56;
Sending: p710.545730208072019-02-25T16:07:57;
Sending: p677.388976332022019-02-25T16:07:58;
Sending: p693.246804546772019-02-25T16:07:59;
Sending: p709.466472276042019-02-25T16:08:00;
Sending: p728.46550213242019-02-25T16:08:01;
Sending: p725.687196750662019-02-25T16:08:02;
Sending: p704.632692483392019-02-25T16:08:03;
Sending: p697.369743475362019-02-25T16:08:04;
Sending: p672.482790325182019-02-25T16:08:06;
Sending: p691.937519303002019-02-25T16:08:07;
Sending: p662.961841832712019-02-25T16:08:08;
Sending: p648.904948543232019-02-25T16:08:09;
Sending: p655.478476111162019-02-25T16:08:10;
Sending: p613.575283673902019-02-25T16:08:11;
Sending: p672.397608299962019-02-25T16:08:12;
Sending: p679.944177318932019-02-25T16:08:13;
Sending: p654.418855634522019-02-25T16:08:14;
Sending: p672.987150431642019-02-25T16:08:15;
Sending: p673.493562785972019-02-25T16:08:16;
Sending: p701.610297311462019-02-25T16:08:17;
Sending: p705.346089316522019-02-25T16:08:18;
Sending: p670.716534175712019-02-25T16:08:19;
Sending: p743.595179043252019-02-25T16:08:20;
Sending: p696.841162050812019-02-25T16:08:21;
Sending: p710.635618166242019-02-25T16:08:22;
Sending: p735.090779199522019-02-25T16:08:23;
Sending: p690.195595609352019-02-25T16:08:24;
