Dbg: 18939664 - 3856 | 560 496 132019-02-25T15:46:35;
Connected: COM2019-02-25T15:46:37;
Sending: p396.905180563932019-02-25T15:48:52;
Sending: p406.899298768832019-02-25T15:48:53;
Sending: p403.895817303182019-02-25T15:48:54;
Sending: p411.038859690862019-02-25T15:48:55;
Sending: p405.39408850792019-02-25T15:48:56;
Sending: p416.921718262812019-02-25T15:48:57;
Sending: p387.64191102092019-02-25T15:48:58;
Sending: p412.662601281612019-02-25T15:48:59;
Sending: p386.481594269522019-02-25T15:49:00;
Sending: p404.848124546412019-02-25T15:49:01;
Sending: p390.323345743952019-02-25T15:49:02;
Sending: p403.759766600622019-02-25T15:49:03;
Sending: p384.812872393062019-02-25T15:49:04;
Sending: p391.542055229482019-02-25T15:49:05;
Sending: p400.337050969472019-02-25T15:49:06;
Sending: p392.502426737062019-02-25T15:49:07;
Sending: p399.754915043622019-02-25T15:49:08;
Sending: p398.950766890222019-02-25T15:49:09;
Sending: p405.03026746252019-02-25T15:49:11;
Sending: p420.18741229172019-02-25T15:49:12;
Sending: p415.417715778092019-02-25T15:49:13;
Sending: p418.054061006462019-02-25T15:49:14;
Sending: p403.036702755952019-02-25T15:49:15;
Sending: p412.894928396672019-02-25T15:49:16;
Sending: p420.424955099712019-02-25T15:49:17;
Sending: p411.316673609862019-02-25T15:49:18;
Sending: p419.521938539172019-02-25T15:49:19;
Sending: p407.584609106232019-02-25T15:49:20;
Sending: p409.791160028962019-02-25T15:49:21;
Sending: p417.251862660312019-02-25T15:49:22;
Sending: p414.0609376392019-02-25T15:49:23;
Sending: p393.421846372672019-02-25T15:49:24;
Sending: p417.251171864062019-02-25T15:49:25;
Sending: p397.748416729822019-02-25T15:49:26;
Sending: p429.684225217752019-02-25T15:49:27;
Sending: p416.49770392272019-02-25T15:49:28;
Sending: p405.439306715712019-02-25T15:49:29;
Sending: p409.422674042462019-02-25T15:49:30;
Sending: p418.243333132482019-02-25T15:49:31;
Sending: p426.037798476132019-02-25T15:49:33;
Sending: p395.268848324842019-02-25T15:49:34;
