1023;65;370.47;162.34;2019-02-25T15:46:37;;;1023;370.47
1023;65;390.11;182.21;2019-02-25T15:46:38;;;;
1023;65;390.02;162.34;2019-02-25T15:46:39;;;;
1023;65;386.22;182.21;2019-02-25T15:46:40;;;;
1023;65;388.33;162.34;2019-02-25T15:46:41;;;;
1023;65;384.6;162.34;2019-02-25T15:46:42;;;;
1023;65;370.8;162.34;2019-02-25T15:46:43;;;;
1023;65;372.84;182.21;2019-02-25T15:46:44;;;;
1023;65;378.52;162.34;2019-02-25T15:46:45;;;;
1023;65;387.73;182.21;2019-02-25T15:46:46;;;1023;387.73
1014;65;384.86;162.34;2019-02-25T15:46:47;;;;
1014;65;374.99;182.21;2019-02-25T15:46:48;;;;
1014;65;382.18;162.34;2019-02-25T15:46:49;;;;
1014;65;382.18;182.21;2019-02-25T15:46:50;;;;
1014;65;378.44;162.34;2019-02-25T15:46:51;;;;
1014;65;370.88;162.34;2019-02-25T15:46:52;;;;
1014;65;368.56;162.34;2019-02-25T15:46:53;;;;
1014;65;376.56;182.21;2019-02-25T15:46:54;;;;
1014;65;370.68;162.34;2019-02-25T15:46:55;;;;
1014;65;373.87;182.21;2019-02-25T15:46:56;;;1014;373.87
1004;65;374.74;162.34;2019-02-25T15:46:57;;;;
1004;65;377.85;182.21;2019-02-25T15:46:58;;;;
1004;65;386.1;162.34;2019-02-25T15:46:59;;;;
1004;65;387.73;182.21;2019-02-25T15:47:00;;;;
1004;65;387.77;162.34;2019-02-25T15:47:01;;;;
1004;65;368.16;182.21;2019-02-25T15:47:02;;;;
1004;65;372.27;162.34;2019-02-25T15:47:03;;;;
1004;65;381.08;162.34;2019-02-25T15:47:04;;;;
1004;65;389.54;162.34;2019-02-25T15:47:05;;;;
1004;65;393.2;162.34;2019-02-25T15:47:06;;;1004;393.2
994;65;379.06;182.21;2019-02-25T15:47:07;;;;
994;65;376.69;162.34;2019-02-25T15:47:08;;;;
994;65;391.24;182.21;2019-02-25T15:47:09;;;;
994;65;400.52;162.34;2019-02-25T15:47:10;;;;
994;65;393.11;182.21;2019-02-25T15:47:11;;;;
994;65;401.77;162.34;2019-02-25T15:47:12;;;;
994;65;385.24;182.21;2019-02-25T15:47:13;;;;
994;65;385.24;162.34;2019-02-25T15:47:14;;;;
994;65;386.91;182.21;2019-02-25T15:47:15;;;;
994;65;380.62;162.34;2019-02-25T15:47:16;;;994;380.62
984;65;389.89;182.21;2019-02-25T15:47:17;;;;
