1,102.42,33.5
2,106.43,34.26
3,111.79,34.99
4,113.79,35.79
5,117.81,36.43
6,116.47,37.05
7,117.81,37.69
8,117.81,38.33
9,117.81,38.85
10,119.15,39.35
11,119.15,39.6
12,118.48,39.66
13,118.48,39.56
14,120.49,39.32
15,119.82,38.7
16,120.49,37.99
17,118.48,37.05
18,119.15,35.96
19,118.48,34.76
20,119.82,33.48
21,117.81,32.26
22,120.49,31.15
23,119.82,30.17
24,119.15,29.27
25,119.15,28.5
26,118.48,27.98
27,118.48,27.66
28,120.49,27.55
29,118.48,27.69
30,119.15,27.99
31,119.82,28.48
32,117.81,29.24
33,119.15,30.09
34,119.15,31.06
35,121.16,32.02
36,120.49,32.89
37,119.82,33.78
38,119.15,34.52
39,119.15,35.19
40,119.82,35.72
41,118.48,36.1
42,119.82,36.44
43,119.15,36.65
44,120.49,36.84
45,120.49,36.98
46,117.81,37.09
47,119.82,37.44
48,119.82,37.86
49,119.15,38.35
50,121.16,38.87
51,121.16,39.35
52,119.82,39.9
53,119.82,40.44
54,119.82,40.85
55,118.48,41.15
56,119.15,41.41
57,120.49,41.6
58,120.49,41.7
59,119.82,41.9
60,121.16,42.01
61,120.49,42.27
62,119.15,42.43
63,119.82,42.66
64,120.49,42.95
65,120.49,43.15
66,119.15,43.21
67,119.15,43.31
68,119.82,43.37
69,119.15,43.45
70,118.48,43.55
71,120.49,43.77
72,118.48,43.88
73,119.82,43.91
74,121.16,43.88
75,118.48,43.75
76,121.16,43.72
77,119.82,43.72
78,120.49,43.85
79,119.82,43.87
80,118.48,43.91
81,120.49,43.91
82,120.49,43.88
83,121.16,43.95
84,119.82,43.96
85,119.82,43.95
86,120.49,43.91
87,119.15,43.87
88,119.15,43.99
89,121.16,44.15
90,118.48,44.3
91,119.15,44.41
92,119.82,44.57
93,119.82,44.68
94,118.48,44.84
95,121.16,44.91
96,120.49,45.06
97,119.82,45.17
98,119.15,45.23
99,121.16,45.34
100,118.48,45.38
101,119.15,45.39
102,119.82,45.44
103,118.48,45.41
104,119.15,45.5
105,119.15,45.47
106,120.49,45.38
107,121.16,45.49
108,120.49,45.44
109,119.82,45.46
110,119.15,45.42
111,119.15,45.48
112,119.82,45.44
113,119.15,45.49
114,119.15,45.58
115,119.15,45.58
116,119.15,45.66
117,120.49,45.77
118,118.48,45.85
119,119.15,46.09
120,120.49,46.28
121,121.16,46.56
122,120.49,46.81
123,119.15,47.08
124,119.82,47.2
125,118.48,47.31
126,121.16,47.38
127,119.15,47.39
128,119.15,47.53
129,120.49,47.62
130,119.82,47.78
131,119.82,47.89
132,120.49,48.06
133,120.49,48.03
134,121.16,48.09
135,119.82,47.98
136,119.15,47.82
137,119.82,47.63
138,120.49,47.42
139,121.16,47.17
140,119.82,47.02
