600;25;0.00;0.00;0.00;0.00;204;0.00;2019-06-13T16:23:50;
600;25;0.00;0.00;0.00;0.00;205;0.52;2019-06-13T16:23:51;
600;25;0.00;0.00;0.00;0.00;204;0.00;2019-06-13T16:23:52;
600;25;0.00;0.00;0.00;0.00;203;0.00;2019-06-13T16:23:53;
600;25;0.00;0.00;0.00;0.00;203;0.00;2019-06-13T16:23:54;
600;25;0.00;0.00;0.00;0.00;203;0.00;2019-06-13T16:23:55;
600;25;0.00;0.00;0.00;0.00;205;0.52;2019-06-13T16:23:56;
600;25;0.00;0.00;0.00;0.00;205;0.52;2019-06-13T16:23:57;
600;25;0.00;0.00;0.00;0.00;203;0.00;2019-06-13T16:23:58;
600;25;0.00;0.00;0.00;0.00;204;0.00;2019-06-13T16:23:59;
600;25;0.00;0.00;0.00;0.00;204;0.00;2019-06-13T16:24:00;
600;25;0.00;0.00;0.00;0.00;202;0.00;2019-06-13T16:24:01;
600;25;0.00;0.00;0.00;0.00;207;1.56;2019-06-13T16:24:02;
600;25;0.00;0.00;0.00;0.00;204;0.00;2019-06-13T16:24:03;
600;25;0.00;0.00;0.00;0.00;204;0.00;2019-06-13T16:24:04;
600;25;0.00;0.00;0.00;0.00;203;0.00;2019-06-13T16:24:05;
600;25;0.00;0.00;0.00;0.00;206;1.04;2019-06-13T16:24:06;
600;25;0.00;0.00;0.00;0.00;204;0.00;2019-06-13T16:24:07;
600;25;0.00;0.00;0.00;0.00;204;0.00;2019-06-13T16:24:08;
600;25;0.00;0.00;0.00;0.00;203;0.00;2019-06-13T16:24:09;
600;25;0.00;0.00;0.00;0.00;203;0.00;2019-06-13T16:24:10;
600;25;0.00;0.00;0.00;0.00;205;0.52;2019-06-13T16:24:11;
600;25;0.00;0.00;0.00;0.00;204;0.00;2019-06-13T16:24:12;
600;25;0.00;0.00;0.00;0.00;204;0.00;2019-06-13T16:24:13;
600;25;0.00;0.00;0.00;0.00;203;0.00;2019-06-13T16:24:14;
600;25;0.00;0.00;0.00;0.00;204;0.00;2019-06-13T16:24:15;
600;25;0.00;0.00;0.00;0.00;203;0.00;2019-06-13T16:24:16;
600;25;0.00;0.00;0.00;0.00;203;0.00;2019-06-13T16:24:17;
600;25;0.00;0.00;0.00;0.00;204;0.00;2019-06-13T16:24:18;
600;25;0.00;0.00;0.00;0.00;204;0.00;2019-06-13T16:24:19;
600;25;0.00;0.00;0.00;0.00;204;0.00;2019-06-13T16:24:20;
600;25;0.00;0.00;0.00;0.00;203;0.00;2019-06-13T16:24:21;
