Dbg1: 1833800 - 1728 | 32 1640 1360 368 11;2019-05-14T10:01:09
Dbg2: 1833800 - 1280 | 1856 1072 416 11;2019-05-14T10:01:11
Connected: COM1;2019-05-14T10:23:33
Sending: o188.52687734420;2019-05-14T10:23:34
Sending: p101.47285882794;2019-05-14T10:23:34
Sending: o188.22262284321;2019-05-14T10:23:35
Sending: p101.14769078379;2019-05-14T10:23:35
Sending: o188.21480187289;2019-05-14T10:23:36
Sending: p100.86282884721;2019-05-14T10:23:36
Sending: o188.45444047784;2019-05-14T10:23:37
Sending: p100.60152248073;2019-05-14T10:23:37
Sending: o188.38091477157;2019-05-14T10:23:38
Sending: p101.15860257680;2019-05-14T10:23:38
Sending: o188.05811903396;2019-05-14T10:23:39
Sending: p100.71251606162;2019-05-14T10:23:39
Sending: o188.14951531597;2019-05-14T10:23:40
Sending: p100.93978445517;2019-05-14T10:23:40
Sending: o188.53121360366;2019-05-14T10:23:41
Sending: p100.72489513442;2019-05-14T10:23:41
Sending: o188.11403033915;2019-05-14T10:23:42
Sending: p100.58247386400;2019-05-14T10:23:42
Sending: o188.46142028786;2019-05-14T10:23:43
Sending: p100.31963883250;2019-05-14T10:23:43
Sending: o188.40155349989;2019-05-14T10:23:44
Sending: p99.931724860267;2019-05-14T10:23:44
Sending: o187.910587412;2019-05-14T10:23:45
Sending: p100.18059176544;2019-05-14T10:23:45
Sending: o188.24212686094;2019-05-14T10:23:46
Sending: p100.55683396191;2019-05-14T10:23:46
Sending: o188.48128996385;2019-05-14T10:23:47
Sending: p100.36139128271;2019-05-14T10:23:47
Sending: o188.52886275001;2019-05-14T10:23:48
Sending: p100.05835452531;2019-05-14T10:23:48
Sending: o188.58426124490;2019-05-14T10:23:49
Sending: p99.781690781096;2019-05-14T10:23:49
Sending: o188.30879346172;2019-05-14T10:23:50
Sending: p100.43221691110;2019-05-14T10:23:50
Sending: o188.54037988824;2019-05-14T10:23:51
Sending: p99.808396814988;2019-05-14T10:23:51
Sending: o188.31627526416;2019-05-14T10:23:52
Sending: p100.03820957626;2019-05-14T10:23:52
Sending: o188.480278606;2019-05-14T10:23:53
Sending: p99.669667011652;2019-05-14T10:23:53
Sending: o188.40540028550;2019-05-14T10:23:54
Sending: p99.759412784608;2019-05-14T10:23:54
Sending: o188.69324509307;2019-05-14T10:23:55
Sending: p99.089337068428;2019-05-14T10:23:55
Sending: o188.68013862782;2019-05-14T10:23:56
Sending: p99.620478183065;2019-05-14T10:23:56
Sending: o188.50681901562;2019-05-14T10:23:57
Sending: p98.997323729423;2019-05-14T10:23:57
Sending: o188.34692767314;2019-05-14T10:23:58
Sending: p99.214616739144;2019-05-14T10:23:58
Sending: o188.35587764966;2019-05-14T10:23:59
Sending: p99.094306387230;2019-05-14T10:23:59
Sending: o188.35173430652;2019-05-14T10:24:00
Sending: p98.823139256139;2019-05-14T10:24:00
Sending: o188.49246378753;2019-05-14T10:24:01
Sending: p99.362254204390;2019-05-14T10:24:01
Sending: o188.23761811153;2019-05-14T10:24:02
Sending: p99.010997557734;2019-05-14T10:24:02
Sending: o188.55732920227;2019-05-14T10:24:03
Sending: p98.969789101563;2019-05-14T10:24:03
Sending: o188.49387296560;2019-05-14T10:24:04
Sending: p98.877727598442;2019-05-14T10:24:04
Sending: o188.50706410089;2019-05-14T10:24:05
Sending: p98.320556984738;2019-05-14T10:24:05
Sending: o188.60205191195;2019-05-14T10:24:06
Sending: p98.545165047464;2019-05-14T10:24:06
Sending: o188.50368570521;2019-05-14T10:24:07
Sending: p98.306290412666;2019-05-14T10:24:07
Sending: o188.71221940734;2019-05-14T10:24:08
Sending: p98.641413993769;2019-05-14T10:24:08
Sending: o188.60729743875;2019-05-14T10:24:09
Sending: p98.180531928983;2019-05-14T10:24:09
Sending: o188.28552113768;2019-05-14T10:24:10
Sending: p98.324977365681;2019-05-14T10:24:10
Sending: o188.27117815242;2019-05-14T10:24:11
Sending: p98.245192225042;2019-05-14T10:24:11
Sending: o188.32928343928;2019-05-14T10:24:12
Sending: p98.100666691863;2019-05-14T10:24:12
Sending: o188.73311858969;2019-05-14T10:24:13
Sending: p98.000308652181;2019-05-14T10:24:13
Sending: o188.31340090299;2019-05-14T10:24:14
Sending: p97.339433426614;2019-05-14T10:24:14
Sending: o188.28219038284;2019-05-14T10:24:15
Sending: p97.480614705354;2019-05-14T10:24:15
Sending: o188.56843448859;2019-05-14T10:24:16
Sending: p97.944296531980;2019-05-14T10:24:16
Sending: o188.43698062160;2019-05-14T10:24:17
Sending: p97.385289507493;2019-05-14T10:24:17
Sending: o188.35368909568;2019-05-14T10:24:18
Sending: p97.623191990890;2019-05-14T10:24:18
Sending: o188.30963779008;2019-05-14T10:24:19
Sending: p97.304341176056;2019-05-14T10:24:19
Sending: o188.26024487838;2019-05-14T10:24:20
Sending: p97.75800505005;2019-05-14T10:24:20
Sending: o188.75272687174;2019-05-14T10:24:21
Sending: p97.392796517563;2019-05-14T10:24:21
Sending: o188.18295775434;2019-05-14T10:24:22
Sending: p96.906133578549;2019-05-14T10:24:22
Sending: o188.40139100582;2019-05-14T10:24:23
Sending: p97.546368731957;2019-05-14T10:24:23
Sending: p97.498336925585;2019-05-14T10:24:24
Sending: o188.48325259197;2019-05-14T10:24:24
Sending: f20;2019-05-14T10:24:25
Sending: p96.93598948200;2019-05-14T10:24:25
Sending: o188.43282692761;2019-05-14T10:24:25
Sending: o188.4112949507;2019-05-14T10:24:26
Sending: p96.875646758090;2019-05-14T10:24:26
Sending: o188.25242398996;2019-05-14T10:24:27
Sending: p96.873893609818;2019-05-14T10:24:27
Sending: p97.432507032145;2019-05-14T10:24:28
Sending: o188.37319390540;2019-05-14T10:24:28
Sending: p96.978544789344;2019-05-14T10:24:29
Sending: o188.35719963436;2019-05-14T10:24:29
Sending: p96.601633376982;2019-05-14T10:24:30
Sending: o188.08477080629;2019-05-14T10:24:30
Sending: o188.25194154413;2019-05-14T10:24:31
Sending: p96.475577461884;2019-05-14T10:24:31
Sending: o188.12418137871;2019-05-14T10:24:32
Sending: p96.124229421835;2019-05-14T10:24:32
Sending: o188.31904288418;2019-05-14T10:24:33
Sending: p96.696478977512;2019-05-14T10:24:33
Sending: o188.64266953059;2019-05-14T10:24:34
Sending: p96.823575666600;2019-05-14T10:24:34
Sending: o188.3965874269;2019-05-14T10:24:35
Sending: p95.876796438064;2019-05-14T10:24:35
Sending: o188.42490191820;2019-05-14T10:24:36
Sending: p96.668029033947;2019-05-14T10:24:36
Sending: o188.53979033476;2019-05-14T10:24:37
Sending: p95.697276812643;2019-05-14T10:24:37
Sending: o188.13779761926;2019-05-14T10:24:38
Sending: p96.199254107892;2019-05-14T10:24:38
Sending: o188.56594840246;2019-05-14T10:24:39
Sending: p96.058175423519;2019-05-14T10:24:39
Sending: o188.80196043913;2019-05-14T10:24:40
